Date,Festive Period,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
1/5/2019,E,Hong Kong-Zhuhai-Macao Bridge,Arrival,16878,17781,3724,38383
1/5/2019,E,Hong Kong-Zhuhai-Macao Bridge,Departure,15229,19389,4254,38872
1/5/2019,E,Lok Ma Chau,Arrival,26941,19661,1263,47865
1/5/2019,E,Lok Ma Chau,Departure,19443,10858,691,30992
1/5/2019,E,Man Kam To,Arrival,1525,5089,66,6680
1/5/2019,E,Man Kam To,Departure,1351,2575,18,3944
1/5/2019,E,Sha Tau Kok,Arrival,1952,2548,152,4652
1/5/2019,E,Sha Tau Kok,Departure,1735,1458,71,3264
1/5/2019,E,Shenzhen Bay,Arrival,27065,48123,2302,77490
1/5/2019,E,Shenzhen Bay,Departure,21906,31125,1355,54386
1/5/2019,E,China Ferry Terminal,Arrival,1871,3804,1665,7340
1/5/2019,E,China Ferry Terminal,Departure,1409,3009,1718,6136
1/5/2019,E,Harbour Control,Arrival,6,0,39,45
1/5/2019,E,Harbour Control,Departure,0,0,0,0
1/5/2019,E,Kai Tak Cruise Terminal,Arrival,869,196,35,1100
1/5/2019,E,Kai Tak Cruise Terminal,Departure,654,670,27,1351
1/5/2019,E,Macau Ferry Terminal,Arrival,9358,2874,4473,16705
1/5/2019,E,Macau Ferry Terminal,Departure,6895,2642,3823,13360
1/5/2019,E,Tuen Mun Ferry Terminal,Arrival,594,37,44,675
1/5/2019,E,Tuen Mun Ferry Terminal,Departure,532,33,28,593
2/5/2019,E,Airport,Arrival,25793,18458,27307,71558
2/5/2019,E,Airport,Departure,24758,12761,24278,61797
2/5/2019,E,Express Rail Link West Kowloon,Arrival,4837,38710,1607,45154
2/5/2019,E,Express Rail Link West Kowloon,Departure,4512,28114,1109,33735
2/5/2019,E,Hung Hom,Arrival,1337,2389,492,4218
2/5/2019,E,Hung Hom,Departure,1543,2240,376,4159
2/5/2019,E,Lo Wu,Arrival,69115,64926,2174,136215
2/5/2019,E,Lo Wu,Departure,68197,80712,2302,151211
2/5/2019,E,Lok Ma Chau Spur Line,Arrival,42030,68084,1026,111140
2/5/2019,E,Lok Ma Chau Spur Line,Departure,41445,63463,939,105847
2/5/2019,E,Hong Kong-Zhuhai-Macao Bridge,Arrival,8733,23286,2933,34952
2/5/2019,E,Hong Kong-Zhuhai-Macao Bridge,Departure,8586,28437,3153,40176
2/5/2019,E,Lok Ma Chau,Arrival,21332,16720,966,39018
2/5/2019,E,Lok Ma Chau,Departure,18559,16763,932,36254
2/5/2019,E,Man Kam To,Arrival,3542,5552,51,9145
2/5/2019,E,Man Kam To,Departure,3703,3583,69,7355
2/5/2019,E,Sha Tau Kok,Arrival,2403,2658,118,5179
2/5/2019,E,Sha Tau Kok,Departure,2465,1946,96,4507
2/5/2019,E,Shenzhen Bay,Arrival,24279,50809,1976,77064
2/5/2019,E,Shenzhen Bay,Departure,23619,48160,1620,73399
2/5/2019,E,China Ferry Terminal,Arrival,1552,3873,1652,7077
2/5/2019,E,China Ferry Terminal,Departure,1699,4481,1910,8090
2/5/2019,E,Harbour Control,Arrival,1,0,52,53
2/5/2019,E,Harbour Control,Departure,3,0,35,38
2/5/2019,E,Kai Tak Cruise Terminal,Arrival,653,670,34,1357
2/5/2019,E,Kai Tak Cruise Terminal,Departure,549,687,43,1279
2/5/2019,E,Macau Ferry Terminal,Arrival,7306,3958,4947,16211
2/5/2019,E,Macau Ferry Terminal,Departure,7231,4316,4689,16236
2/5/2019,E,Tuen Mun Ferry Terminal,Arrival,426,52,29,507
2/5/2019,E,Tuen Mun Ferry Terminal,Departure,537,42,37,616
3/5/2019,E,Airport,Arrival,21716,19456,27771,68943
3/5/2019,E,Airport,Departure,27917,15539,26252,69708
3/5/2019,E,Express Rail Link West Kowloon,Arrival,4740,35174,1793,41707
3/5/2019,E,Express Rail Link West Kowloon,Departure,5741,35264,1056,42061
3/5/2019,E,Hung Hom,Arrival,1639,2260,698,4597
3/5/2019,E,Hung Hom,Departure,1823,2868,372,5063
3/5/2019,E,Lo Wu,Arrival,69250,50563,1987,121800
3/5/2019,E,Lo Wu,Departure,78735,71630,2360,152725
3/5/2019,E,Lok Ma Chau Spur Line,Arrival,41399,54949,908,97256
3/5/2019,E,Lok Ma Chau Spur Line,Departure,46938,60150,1003,108091
3/5/2019,E,Hong Kong-Zhuhai-Macao Bridge,Arrival,9021,18567,3481,31069
3/5/2019,E,Hong Kong-Zhuhai-Macao Bridge,Departure,10719,23441,3620,37780
3/5/2019,E,Lok Ma Chau,Arrival,20105,11909,896,32910
3/5/2019,E,Lok Ma Chau,Departure,21927,20243,935,43105
3/5/2019,E,Man Kam To,Arrival,3604,5144,35,8783
3/5/2019,E,Man Kam To,Departure,3787,3606,83,7476
3/5/2019,E,Sha Tau Kok,Arrival,2515,2418,125,5058
3/5/2019,E,Sha Tau Kok,Departure,2724,1980,113,4817
3/5/2019,E,Shenzhen Bay,Arrival,24439,41360,1929,67728
3/5/2019,E,Shenzhen Bay,Departure,28730,52698,1755,83183
3/5/2019,E,China Ferry Terminal,Arrival,1810,3500,1804,7114
3/5/2019,E,China Ferry Terminal,Departure,2041,4627,2192,8860
3/5/2019,E,Harbour Control,Arrival,11,0,93,104
3/5/2019,E,Harbour Control,Departure,2,5,21,28
3/5/2019,E,Kai Tak Cruise Terminal,Arrival,967,2628,271,3866
3/5/2019,E,Kai Tak Cruise Terminal,Departure,2959,1379,477,4815
3/5/2019,E,Macau Ferry Terminal,Arrival,7928,3818,5882,17628
3/5/2019,E,Macau Ferry Terminal,Departure,8538,3830,4880,17248
3/5/2019,E,Tuen Mun Ferry Terminal,Arrival,431,81,43,555
3/5/2019,E,Tuen Mun Ferry Terminal,Departure,510,61,27,598
4/5/2019,E,Airport,Arrival,23936,27260,25096,76292
4/5/2019,E,Airport,Departure,25189,19613,28495,73297
4/5/2019,E,Express Rail Link West Kowloon,Arrival,4192,18881,1319,24392
4/5/2019,E,Express Rail Link West Kowloon,Departure,7542,38495,1195,47232
4/5/2019,E,Hung Hom,Arrival,1344,1186,550,3080
4/5/2019,E,Hung Hom,Departure,1942,3062,430,5434
4/5/2019,E,Lo Wu,Arrival,74296,28924,1939,105159
4/5/2019,E,Lo Wu,Departure,95441,45200,2051,142692
